State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,January,Number of Deaths,4034,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Deaths,4084,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Deaths,4101,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
NM,NM,2018,January,Number of Deaths,18147,,100,0.170827133961536,Underreported due to incomplete data.
AK,AK,2015,April,Number of Deaths,4133,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Deaths,4196,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
NM,NM,2018,February,Number of Deaths,18148,,100,0.170817720960987,Underreported due to incomplete data.
NM,NM,2018,March,Number of Deaths,18178,,100,0.170535812520629,Underreported due to incomplete data.
NM,NM,2018,April,Number of Deaths,18162,,100,0.187204052417135,Underreported due to incomplete data.
AK,AK,2015,June,Number of Deaths,4201,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
NM,NM,2018,May,Number of Deaths,18028,,100,0.221877080097626,Underreported due to incomplete data.
NM,NM,2018,June,Number of Deaths,18143,,100,0.270076613569972,Underreported due to incomplete data.
AK,AK,2015,January,Number of Deaths,4034,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Deaths,4084,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Deaths,4101,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Deaths,4133,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Deaths,4196,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Deaths,4201,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Deaths,4220,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Deaths,4222,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
